0X08FF00 0XEC
0X08FF64 0X8B
0X08FF65 0X8A
0X08FF66 0XD7
0X08FF67 0X48
0X08FF68 0X24
0X08FF69 0X07
0X08FF6A 0X06
0X08FF6B 0X30
0X08FF6C 0XAB
0X08FF6D 0XAD
0X08FF6E 0XB2
0X08FF6F 0X10
0X08FF70 0XB5
0X08FF71 0X84
0X08FF72 0X30
0X08FF73 0X17
0X08FF74 0XAD
0X08FF75 0X12
0X08FF76 0X5D
0X08FF77 0X3B
0X08FF78 0X96
0X08FF79 0X00
0X08FF7A 0XF8
0X08FF7B 0X91
0X08FF7C 0XC3
0X08FF7D 0X6B
0X08FF7E 0X51
0X08FF7F 0X23
0X08FF80 0XFC
0X08FF81 0X00
0X08FF82 0X55
0X08FF83 0X46
0X08FF84 0XEB
0X08FF85 0X01
0X08FF86 0XE4
0X08FF87 0X41
0X08FF88 0XCF
0X08FF89 0XE7
0X08FF8A 0X66
0X08FF8B 0X12
0X08FF8C 0X5B
0X08FF8D 0X77
0X08FF8E 0X22
0X08FF8F 0X0C
0X08FF90 0X63
0X08FF91 0XAD
0X08FF92 0X53
0X08FF93 0X35
0X08FF94 0X54
0X08FF95 0X36
0X08FF96 0X0A
0X08FF97 0X7A
0X08FF98 0XDC
0X08FF99 0X3D
0X08FF9A 0XED
0X08FF9B 0XE0
0X08FF9C 0XA5
0X08FF9D 0X1B
0X08FF9E 0X38
0X08FF9F 0X0B
0X08FFA0 0X69
0X08FFA1 0X9A
0X08FFA2 0X4B
0X08FFA3 0XE7
0X08FFA4 0X9B
0X08FFA5 0XE6
0X08FFA6 0X33
0X08FFA7 0XB1
0X08FFA8 0X5B
0X08FFA9 0XCE
0X08FFAA 0X0A
0X08FFAB 0XD9
0X08FFAC 0X59
0X08FFAD 0X14
0X08FFAE 0X81
0X08FFAF 0X55
0X08FFB0 0XF7
0X08FFB1 0X9A
0X08FFB2 0X88
0X08FFB3 0X8E
0X08FFB4 0XB6
0X08FFB5 0XF0
0X08FFB6 0X92
0X08FFB7 0X32
0X08FFB8 0X99
0X08FFB9 0X74
0X08FFBA 0XB8
0X08FFBB 0XD2
0X08FFBC 0X43
0X08FFBD 0X6C
0X08FFBE 0XC3
0X08FFBF 0XA5
0X08FFC0 0XCB
0X08FFC1 0X47
0X08FFC2 0X95
0X08FFC3 0X8B
0X08FFC4 0X88
0X08FFC5 0X4F
0X08FFC6 0XC5
0X08FFC7 0X66
0X08FFC8 0X97
0X08FFC9 0X44
0X08FFCA 0X70
0X08FFCB 0XA6
0X08FFCC 0X51
0X08FFCD 0XA0
0X08FFCE 0X71
0X08FFCF 0X81
0X08FFD0 0X20
0X08FFD1 0XD8
0X08FFD2 0X98
0X08FFD3 0XD1
0X08FFD4 0XB5
0X08FFD5 0XC5
0X08FFD6 0X00
0X08FFD7 0X64
0X08FFD8 0X20
0X08FFD9 0X53
0X08FFDA 0X1A
0X08FFDB 0X00
0X08FFDC 0X35
0X08FFDD 0X5D
0X08FFDE 0XB1
0X08FFDF 0XED
0X08FFE0 0X8E
0X08FFE1 0XEA
0X08FFE2 0X9D
0X08FFE3 0X37
0X08FFE4 0XC0
0X08FFE5 0X94
0X08FFE6 0X3A
0X08FFE7 0XA4
0X08FFE8 0XED
0X08FFE9 0XEA
0X08FFEA 0X07
0X08FFEB 0X35
0X08FFEC 0XE8
0X08FFED 0X2F
0X08FFEE 0XC1
0X08FFEF 0XCC
0X08FFF0 0X98
0X08FFF1 0X6E
0X08FFF2 0XAA
0X08FFF3 0X48
0X08FFF4 0XB5
0X08FFF5 0X15
0X08FFF6 0X9B
0X08FFF7 0XC8
0X08FFF8 0X66
0X08FFF9 0XC9
0X08FFFA 0X7B
0X08FFFB 0X90
0X08FFFC 0X95
0X08FFFD 0XE6
0X08FFFE 0X28
0X08FFFF 0XAE
