0X0DFF00 0X1A
0X0DFFAE 0X07
0X0DFFAF 0X82
0X0DFFB0 0X9E
0X0DFFB1 0XD7
0X0DFFB2 0XCD
0X0DFFB3 0X1E
0X0DFFB4 0X20
0X0DFFB5 0X8C
0X0DFFB6 0X74
0X0DFFB7 0XE2
0X0DFFB8 0XC3
0X0DFFB9 0XDA
0X0DFFBA 0X4A
0X0DFFBB 0XD7
0X0DFFBC 0X4E
0X0DFFBD 0X42
0X0DFFBE 0X6C
0X0DFFBF 0X4B
0X0DFFC0 0X78
0X0DFFC1 0X1D
0X0DFFC2 0XBC
0X0DFFC3 0XD7
0X0DFFC4 0XDF
0X0DFFC5 0X09
0X0DFFC6 0XEB
0X0DFFC7 0X45
0X0DFFC8 0X03
0X0DFFC9 0XC2
0X0DFFCA 0XF2
0X0DFFCB 0X76
0X0DFFCC 0XC6
0X0DFFCD 0XC6
0X0DFFCE 0XB9
0X0DFFCF 0X06
0X0DFFD0 0X62
0X0DFFD1 0X6B
0X0DFFD2 0X8E
0X0DFFD3 0XA2
0X0DFFD4 0XE4
0X0DFFD5 0X2A
0X0DFFD6 0X38
0X0DFFD7 0XFC
0X0DFFD8 0X49
0X0DFFD9 0X59
0X0DFFDA 0X59
0X0DFFDB 0XB7
0X0DFFDC 0XE8
0X0DFFDD 0X1E
0X0DFFDE 0XFE
0X0DFFDF 0X80
0X0DFFE0 0X61
0X0DFFE1 0X93
0X0DFFE2 0XCC
0X0DFFE3 0X62
0X0DFFE4 0X32
0X0DFFE5 0X20
0X0DFFE6 0XD0
0X0DFFE7 0X4D
0X0DFFE8 0X65
0X0DFFE9 0XD7
0X0DFFEA 0X4A
0X0DFFEB 0X36
0X0DFFEC 0XD7
0X0DFFED 0X1B
0X0DFFEE 0X74
0X0DFFEF 0XD7
0X0DFFF0 0X7C
0X0DFFF1 0XD7
0X0DFFF2 0X70
0X0DFFF3 0X0A
0X0DFFF4 0X1D
0X0DFFF5 0X81
0X0DFFF6 0XD7
0X0DFFF7 0X9E
0X0DFFF8 0XC3
0X0DFFF9 0X5C
0X0DFFFA 0XF3
0X0DFFFB 0X28
0X0DFFFC 0X83
0X0DFFFD 0X59
0X0DFFFE 0XD3
0X0DFFFF 0XB1
